method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
magnetic_on_rescale,0.285,0.865,0.734,0.81,0.442,0.926,0.074,0.926,0.392,0.19,0.541,0.815,-0.023,0.0,0.435,-0.087,0.074,0.607,tsne,reuters,1,trustworthiness
delaunay,0.292,0.842,0.71,0.752,0.433,0.996,0.004,0.996,0.43,0.248,0.524,0.81,-0.022,0.0,0.423,-0.092,0.004,0.57,tsne,reuters,1,trustworthiness
projnn,0.261,0.847,0.731,0.757,0.5,0.981,0.019,0.981,0.408,0.243,0.565,0.783,0.111,0.0,0.225,0.084,0.019,0.592,tsne,reuters,1,trustworthiness
truenn,0.324,0.891,0.747,0.836,0.538,0.977,0.023,0.977,0.398,0.164,0.576,0.865,0.004,0.0,0.356,-0.049,0.023,0.602,tsne,reuters,1,trustworthiness
rescaled,0.116,0.961,0.986,0.948,0.565,0.722,0.178,0.722,0.032,0.041,0.825,0.969,0.318,0.977,0.54,0.416,0.278,0.962,tsne,har,21,trustworthiness
magnetic,0.113,0.664,0.603,0.618,0.292,0.984,0.009,0.984,0.43,0.372,0.239,0.959,0.232,0.985,0.378,0.172,0.016,0.569,tsne,har,21,trustworthiness
magnetic_on_rescale,0.115,0.805,0.691,0.774,0.415,0.961,0.022,0.961,0.349,0.216,0.368,0.967,0.291,0.983,0.478,0.294,0.039,0.65,tsne,har,21,trustworthiness
delaunay,0.106,0.92,0.876,0.905,0.65,0.936,0.036,0.936,0.183,0.088,0.588,0.943,0.384,0.99,0.289,0.397,0.064,0.816,tsne,har,21,trustworthiness
projnn,0.065,0.968,0.977,0.956,0.763,0.758,0.152,0.758,0.042,0.037,0.803,0.85,0.6,0.986,0.126,0.606,0.242,0.95,tsne,har,21,trustworthiness
truenn,0.064,0.98,0.973,0.972,0.803,0.787,0.132,0.787,0.064,0.022,0.799,0.876,0.631,0.993,0.118,0.635,0.213,0.934,tsne,har,21,trustworthiness
rescaled,0.116,0.951,0.975,0.937,0.571,0.761,0.146,0.761,0.06,0.054,0.742,0.961,0.24,1.0,0.652,0.507,0.239,0.941,umap,har,51,trustworthiness
magnetic,0.115,0.791,0.763,0.741,0.442,0.935,0.037,0.935,0.286,0.249,0.427,0.962,0.206,1.0,0.602,0.276,0.065,0.716,umap,har,51,trustworthiness
magnetic_on_rescale,0.115,0.792,0.764,0.742,0.442,0.935,0.037,0.935,0.286,0.247,0.427,0.962,0.207,1.0,0.603,0.278,0.065,0.717,umap,har,51,trustworthiness
delaunay,0.111,0.815,0.773,0.771,0.468,0.939,0.034,0.939,0.272,0.217,0.42,0.954,0.243,0.999,0.474,0.337,0.061,0.729,umap,har,51,trustworthiness
projnn,0.076,0.928,0.94,0.905,0.615,0.813,0.109,0.813,0.087,0.08,0.685,0.88,0.509,0.998,0.165,0.522,0.187,0.901,umap,har,51,trustworthiness
truenn,0.071,0.961,0.945,0.947,0.666,0.789,0.124,0.789,0.094,0.038,0.677,0.885,0.626,0.998,0.133,0.654,0.211,0.905,umap,har,51,trustworthiness
rescaled,0.191,0.945,0.947,0.905,0.583,0.675,0.204,0.675,0.051,0.074,0.75,0.869,0.471,0.953,0.329,0.472,0.325,0.917,tsne,usps,51,trustworthiness
magnetic,0.196,0.905,0.823,0.861,0.539,0.841,0.093,0.841,0.2,0.123,0.482,0.878,0.466,0.97,0.319,0.465,0.159,0.795,tsne,usps,51,trustworthiness
magnetic_on_rescale,0.196,0.905,0.823,0.861,0.539,0.841,0.093,0.841,0.2,0.123,0.482,0.878,0.466,0.97,0.319,0.465,0.159,0.795,tsne,usps,51,trustworthiness
delaunay,0.185,0.938,0.874,0.899,0.659,0.831,0.097,0.831,0.167,0.086,0.607,0.876,0.487,0.976,0.28,0.477,0.169,0.829,tsne,usps,51,trustworthiness
projnn,0.164,0.963,0.964,0.932,0.751,0.677,0.201,0.677,0.05,0.054,0.779,0.854,0.507,0.975,0.171,0.489,0.323,0.932,tsne,usps,51,trustworthiness
truenn,0.173,0.971,0.922,0.944,0.763,0.768,0.138,0.768,0.133,0.04,0.764,0.882,0.514,0.982,0.181,0.49,0.232,0.865,tsne,usps,51,trustworthiness
rescaled,0.245,0.943,0.957,0.894,0.526,0.652,0.222,0.652,0.045,0.083,0.669,0.88,0.387,0.977,0.215,0.356,0.348,0.931,umap,mnist,51,trustworthiness
magnetic,0.246,0.936,0.919,0.885,0.516,0.767,0.139,0.767,0.1,0.093,0.574,0.891,0.389,0.982,0.212,0.36,0.233,0.889,umap,mnist,51,trustworthiness
magnetic_on_rescale,0.246,0.936,0.919,0.885,0.516,0.767,0.139,0.767,0.1,0.093,0.574,0.891,0.389,0.982,0.212,0.36,0.233,0.889,umap,mnist,51,trustworthiness
delaunay,0.251,0.951,0.926,0.902,0.598,0.72,0.171,0.72,0.094,0.076,0.617,0.901,0.379,0.984,0.178,0.353,0.28,0.889,umap,mnist,51,trustworthiness
projnn,0.235,0.955,0.953,0.907,0.609,0.676,0.203,0.676,0.055,0.072,0.663,0.892,0.391,0.981,0.17,0.362,0.324,0.92,umap,mnist,51,trustworthiness
truenn,0.306,0.959,0.889,0.915,0.563,0.797,0.119,0.797,0.157,0.061,0.59,0.915,0.427,0.987,0.202,0.418,0.203,0.838,umap,mnist,51,trustworthiness
rescaled,0.206,0.973,0.99,0.963,0.778,0.781,0.134,0.781,0.022,0.033,0.862,0.885,0.47,0.992,0.206,0.45,0.219,0.976,tsne,usps,7,trustworthiness
magnetic,0.213,0.958,0.937,0.948,0.752,0.928,0.042,0.928,0.097,0.049,0.712,0.894,0.466,0.992,0.205,0.45,0.072,0.903,tsne,usps,7,trustworthiness
magnetic_on_rescale,0.213,0.959,0.938,0.949,0.752,0.928,0.042,0.928,0.096,0.049,0.712,0.894,0.466,0.992,0.205,0.45,0.072,0.903,tsne,usps,7,trustworthiness
delaunay,0.153,0.969,0.952,0.961,0.757,0.889,0.064,0.889,0.077,0.036,0.761,0.864,0.462,0.991,0.147,0.428,0.111,0.921,tsne,usps,7,trustworthiness
projnn,0.155,0.971,0.979,0.962,0.766,0.809,0.115,0.809,0.034,0.034,0.835,0.848,0.451,0.989,0.146,0.414,0.191,0.963,tsne,usps,7,trustworthiness
truenn,0.161,0.983,0.939,0.979,0.828,0.912,0.05,0.912,0.118,0.02,0.806,0.875,0.476,0.993,0.163,0.445,0.088,0.881,tsne,usps,7,trustworthiness
rescaled,0.214,0.985,0.989,0.976,0.649,0.784,0.133,0.784,0.019,0.022,0.659,0.955,0.421,0.999,0.263,0.449,0.216,0.981,tsne,fashionmnist,7,trustworthiness
magnetic,0.222,0.959,0.927,0.938,0.608,0.944,0.033,0.944,0.104,0.06,0.537,0.958,0.419,0.999,0.255,0.447,0.056,0.897,tsne,fashionmnist,7,trustworthiness
magnetic_on_rescale,0.221,0.96,0.929,0.939,0.609,0.943,0.033,0.943,0.102,0.06,0.539,0.958,0.419,0.999,0.256,0.447,0.057,0.899,tsne,fashionmnist,7,trustworthiness
delaunay,0.131,0.98,0.952,0.971,0.589,0.901,0.057,0.901,0.069,0.027,0.57,0.923,0.665,0.996,0.112,0.665,0.099,0.931,tsne,fashionmnist,7,trustworthiness
projnn,0.132,0.983,0.976,0.975,0.564,0.827,0.104,0.827,0.031,0.023,0.629,0.918,0.671,0.997,0.11,0.669,0.173,0.967,tsne,fashionmnist,7,trustworthiness
truenn,0.148,0.989,0.952,0.985,0.61,0.896,0.06,0.896,0.068,0.015,0.573,0.934,0.645,0.999,0.135,0.649,0.104,0.932,tsne,fashionmnist,7,trustworthiness
rescaled,0.283,0.977,0.991,0.971,0.707,0.897,0.103,0.897,0.018,0.029,0.816,0.906,0.441,0.0,0.158,0.413,0.103,0.982,tsne,mnist,1,trustworthiness
magnetic,0.299,0.973,0.969,0.967,0.682,0.977,0.023,0.977,0.053,0.033,0.704,0.914,0.441,0.0,0.159,0.415,0.023,0.947,tsne,mnist,1,trustworthiness
magnetic_on_rescale,0.299,0.973,0.969,0.967,0.682,0.977,0.023,0.977,0.053,0.033,0.704,0.914,0.441,0.0,0.159,0.415,0.023,0.947,tsne,mnist,1,trustworthiness
delaunay,0.218,0.97,0.988,0.964,0.595,0.917,0.083,0.917,0.024,0.036,0.8,0.897,0.39,0.0,0.154,0.357,0.083,0.976,tsne,mnist,1,trustworthiness
projnn,0.222,0.973,0.989,0.967,0.624,0.913,0.087,0.913,0.023,0.033,0.801,0.899,0.398,0.0,0.152,0.363,0.087,0.977,tsne,mnist,1,trustworthiness
truenn,0.274,0.98,0.908,0.977,0.686,0.984,0.016,0.984,0.142,0.023,0.653,0.918,0.447,0.0,0.162,0.43,0.016,0.858,tsne,mnist,1,trustworthiness
rescaled,0.139,0.966,0.978,0.944,0.361,0.722,0.171,0.722,0.026,0.05,0.582,0.904,0.668,0.987,0.174,0.672,0.278,0.968,mds,fashionmnist,21,trustworthiness
magnetic,0.139,0.952,0.926,0.927,0.365,0.851,0.087,0.851,0.092,0.069,0.443,0.913,0.668,0.99,0.171,0.673,0.149,0.907,mds,fashionmnist,21,trustworthiness
magnetic_on_rescale,0.139,0.952,0.926,0.927,0.364,0.85,0.088,0.85,0.091,0.068,0.444,0.913,0.668,0.99,0.171,0.673,0.15,0.908,mds,fashionmnist,21,trustworthiness
delaunay,0.131,0.968,0.949,0.95,0.419,0.803,0.116,0.803,0.062,0.045,0.496,0.921,0.716,0.992,0.121,0.723,0.197,0.936,mds,fashionmnist,21,trustworthiness
projnn,0.118,0.975,0.97,0.96,0.458,0.747,0.152,0.747,0.037,0.036,0.565,0.909,0.741,0.99,0.101,0.744,0.253,0.958,mds,fashionmnist,21,trustworthiness
truenn,0.122,0.983,0.951,0.973,0.471,0.814,0.108,0.814,0.064,0.023,0.507,0.923,0.774,0.995,0.102,0.777,0.186,0.936,mds,fashionmnist,21,trustworthiness
rescaled,0.202,0.928,0.969,0.915,0.424,0.847,0.09,0.847,0.049,0.078,0.768,0.827,0.403,0.984,0.359,0.456,0.153,0.95,mds,usps,7,trustworthiness
magnetic,0.181,0.857,0.798,0.84,0.414,0.959,0.024,0.959,0.228,0.155,0.418,0.841,0.402,0.985,0.348,0.432,0.041,0.771,mds,usps,7,trustworthiness
magnetic_on_rescale,0.181,0.857,0.798,0.84,0.414,0.959,0.024,0.959,0.228,0.155,0.418,0.841,0.402,0.985,0.348,0.432,0.041,0.771,mds,usps,7,trustworthiness
delaunay,0.179,0.911,0.879,0.898,0.503,0.956,0.025,0.956,0.16,0.096,0.59,0.844,0.422,0.986,0.303,0.444,0.044,0.84,mds,usps,7,trustworthiness
projnn,0.163,0.935,0.958,0.924,0.56,0.879,0.07,0.879,0.06,0.07,0.737,0.84,0.504,0.987,0.179,0.486,0.121,0.936,mds,usps,7,trustworthiness
truenn,0.167,0.956,0.894,0.949,0.571,0.916,0.048,0.916,0.141,0.049,0.654,0.874,0.478,0.995,0.195,0.452,0.084,0.857,mds,usps,7,trustworthiness
rescaled,0.092,0.986,0.994,0.985,0.766,0.92,0.08,0.92,0.021,0.015,0.871,0.827,0.788,0.0,0.143,0.814,0.08,0.979,tsne,har,1,trustworthiness
magnetic,0.082,0.96,0.965,0.958,0.72,0.981,0.019,0.981,0.068,0.042,0.72,0.842,0.782,0.0,0.142,0.808,0.019,0.932,tsne,har,1,trustworthiness
magnetic_on_rescale,0.082,0.96,0.965,0.958,0.72,0.981,0.019,0.981,0.068,0.042,0.72,0.842,0.782,0.0,0.142,0.808,0.019,0.932,tsne,har,1,trustworthiness
delaunay,0.104,0.979,0.981,0.978,0.732,0.973,0.027,0.973,0.053,0.022,0.785,0.826,0.715,0.0,0.106,0.746,0.027,0.947,tsne,har,1,trustworthiness
projnn,0.103,0.982,0.993,0.981,0.718,0.935,0.065,0.935,0.024,0.019,0.861,0.816,0.746,0.0,0.093,0.775,0.065,0.976,tsne,har,1,trustworthiness
truenn,0.068,0.987,0.983,0.986,0.801,0.967,0.033,0.967,0.053,0.014,0.822,0.844,0.817,0.0,0.088,0.845,0.033,0.947,tsne,har,1,trustworthiness
rescaled,0.304,0.926,0.971,0.918,0.425,0.927,0.073,0.927,0.043,0.082,0.732,0.915,0.412,0.0,0.372,0.453,0.073,0.957,isomap,mnist,1,trustworthiness
magnetic,0.31,0.88,0.877,0.868,0.41,0.984,0.016,0.984,0.152,0.132,0.493,0.922,0.413,0.0,0.361,0.454,0.016,0.848,isomap,mnist,1,trustworthiness
magnetic_on_rescale,0.31,0.88,0.876,0.868,0.41,0.984,0.016,0.984,0.152,0.132,0.492,0.922,0.413,0.0,0.361,0.454,0.016,0.848,isomap,mnist,1,trustworthiness
delaunay,0.307,0.925,0.931,0.917,0.505,0.981,0.019,0.981,0.096,0.083,0.607,0.919,0.418,0.0,0.233,0.44,0.019,0.904,isomap,mnist,1,trustworthiness
projnn,0.272,0.934,0.97,0.926,0.515,0.946,0.054,0.946,0.046,0.074,0.707,0.909,0.447,0.0,0.189,0.448,0.054,0.954,isomap,mnist,1,trustworthiness
truenn,0.327,0.958,0.882,0.954,0.568,0.984,0.016,0.984,0.166,0.046,0.593,0.932,0.464,0.0,0.216,0.482,0.016,0.834,isomap,mnist,1,trustworthiness
rescaled,0.414,0.804,0.779,0.686,0.104,0.929,0.071,0.929,0.374,0.314,0.615,0.971,-0.168,,0.937,-0.311,0.071,0.625,umap,reuters,1,trustworthiness
magnetic,0.425,0.641,0.769,0.476,0.128,0.929,0.071,0.929,0.377,0.524,0.602,0.963,-0.166,0.0,0.886,-0.078,0.071,0.623,umap,reuters,1,trustworthiness
magnetic_on_rescale,0.411,0.652,0.728,0.493,0.118,0.931,0.069,0.931,0.418,0.506,0.511,0.962,-0.175,0.0,0.874,-0.164,0.069,0.582,umap,reuters,1,trustworthiness
delaunay,0.414,0.625,0.642,0.5,0.115,0.999,0.001,0.999,0.488,0.5,0.35,0.956,-0.166,0.0,0.838,-0.063,0.001,0.512,umap,reuters,1,trustworthiness
projnn,0.308,0.668,0.674,0.521,0.355,0.998,0.002,0.998,0.461,0.479,0.436,0.831,-0.029,0.0,0.257,-0.029,0.002,0.539,umap,reuters,1,trustworthiness
truenn,0.375,0.872,0.722,0.806,0.488,0.993,0.007,0.993,0.428,0.194,0.539,0.902,-0.034,0.0,0.353,-0.052,0.007,0.572,umap,reuters,1,trustworthiness
rescaled,0.239,0.983,0.987,0.968,0.61,0.682,0.2,0.682,0.022,0.027,0.641,0.957,0.463,1.0,0.262,0.509,0.318,0.977,tsne,fashionmnist,21,trustworthiness
magnetic,0.243,0.956,0.92,0.927,0.564,0.908,0.052,0.908,0.113,0.069,0.496,0.961,0.456,0.999,0.254,0.501,0.092,0.888,tsne,fashionmnist,21,trustworthiness
magnetic_on_rescale,0.243,0.959,0.926,0.931,0.567,0.901,0.056,0.901,0.106,0.065,0.506,0.961,0.457,0.999,0.255,0.502,0.099,0.895,tsne,fashionmnist,21,trustworthiness
delaunay,0.135,0.977,0.949,0.963,0.567,0.837,0.092,0.837,0.072,0.032,0.547,0.924,0.646,0.997,0.116,0.649,0.163,0.926,tsne,fashionmnist,21,trustworthiness
projnn,0.128,0.979,0.967,0.966,0.533,0.759,0.145,0.759,0.041,0.03,0.587,0.921,0.666,0.997,0.111,0.665,0.241,0.953,tsne,fashionmnist,21,trustworthiness
truenn,0.157,0.986,0.95,0.977,0.614,0.821,0.103,0.821,0.07,0.02,0.559,0.937,0.642,0.999,0.135,0.652,0.179,0.93,tsne,fashionmnist,21,trustworthiness
rescaled,0.219,0.921,0.942,0.888,0.379,0.76,0.145,0.76,0.057,0.1,0.629,0.875,0.451,0.953,0.205,0.453,0.24,0.924,mds,mnist,21,trustworthiness
magnetic,0.226,0.914,0.873,0.88,0.385,0.877,0.07,0.877,0.147,0.109,0.468,0.886,0.455,0.965,0.201,0.455,0.123,0.846,mds,mnist,21,trustworthiness
magnetic_on_rescale,0.226,0.914,0.873,0.88,0.385,0.877,0.07,0.877,0.147,0.109,0.468,0.886,0.455,0.965,0.201,0.455,0.123,0.846,mds,mnist,21,trustworthiness
delaunay,0.24,0.925,0.909,0.892,0.436,0.816,0.108,0.816,0.105,0.097,0.559,0.903,0.446,0.975,0.173,0.43,0.184,0.885,mds,mnist,21,trustworthiness
projnn,0.224,0.928,0.943,0.897,0.45,0.77,0.138,0.77,0.065,0.092,0.628,0.892,0.458,0.971,0.162,0.438,0.23,0.922,mds,mnist,21,trustworthiness
truenn,0.279,0.948,0.803,0.924,0.427,0.903,0.054,0.903,0.226,0.061,0.406,0.913,0.507,0.979,0.167,0.489,0.097,0.773,mds,mnist,21,trustworthiness
rescaled,0.304,0.762,0.712,0.587,0.477,0.97,0.017,0.97,0.421,0.389,0.53,0.802,0.121,0.968,0.311,0.098,0.03,0.566,mds,reuters,21,trustworthiness
magnetic,0.315,0.76,0.686,0.589,0.482,0.979,0.011,0.979,0.445,0.39,0.47,0.818,0.131,0.973,0.301,0.107,0.021,0.545,mds,reuters,21,trustworthiness
magnetic_on_rescale,0.315,0.76,0.686,0.589,0.482,0.979,0.011,0.979,0.445,0.39,0.47,0.818,0.131,0.973,0.301,0.107,0.021,0.545,mds,reuters,21,trustworthiness
delaunay,0.309,0.755,0.669,0.583,0.474,0.983,0.009,0.983,0.464,0.395,0.444,0.816,0.117,0.972,0.299,0.094,0.017,0.535,mds,reuters,21,trustworthiness
projnn,0.27,0.779,0.703,0.594,0.496,0.977,0.012,0.977,0.438,0.383,0.513,0.796,0.125,0.97,0.223,0.088,0.023,0.558,mds,reuters,21,trustworthiness
truenn,0.37,0.897,0.725,0.797,0.571,0.959,0.024,0.959,0.412,0.165,0.553,0.881,-0.005,0.994,0.345,-0.047,0.041,0.578,mds,reuters,21,trustworthiness
rescaled,0.119,0.972,0.99,0.969,0.559,0.822,0.11,0.822,0.03,0.028,0.832,0.979,0.537,0.977,0.485,0.72,0.178,0.97,isomap,har,7,trustworthiness
magnetic,0.111,0.599,0.561,0.566,0.231,0.996,0.002,0.996,0.469,0.427,0.193,0.955,0.218,0.954,0.286,0.132,0.004,0.531,isomap,har,7,trustworthiness
magnetic_on_rescale,0.119,0.735,0.72,0.711,0.395,0.985,0.009,0.985,0.321,0.284,0.333,0.976,0.455,0.964,0.409,0.434,0.015,0.679,isomap,har,7,trustworthiness
delaunay,0.106,0.938,0.926,0.932,0.697,0.967,0.018,0.967,0.13,0.065,0.636,0.941,0.613,0.987,0.163,0.609,0.033,0.871,isomap,har,7,trustworthiness
projnn,0.057,0.967,0.979,0.961,0.744,0.861,0.085,0.861,0.044,0.035,0.807,0.852,0.651,0.982,0.11,0.655,0.139,0.954,isomap,har,7,trustworthiness
truenn,0.059,0.985,0.975,0.983,0.778,0.88,0.072,0.88,0.062,0.016,0.791,0.878,0.694,0.992,0.099,0.699,0.12,0.937,isomap,har,7,trustworthiness
rescaled,0.285,0.76,0.715,0.509,0.365,0.954,0.026,0.954,0.426,0.458,0.519,0.776,-0.177,0.946,0.379,-0.224,0.046,0.563,mds,reuters,51,trustworthiness
magnetic,0.287,0.756,0.665,0.504,0.363,0.967,0.018,0.967,0.453,0.466,0.45,0.793,-0.168,0.955,0.362,-0.217,0.033,0.537,mds,reuters,51,trustworthiness
magnetic_on_rescale,0.287,0.756,0.665,0.504,0.363,0.967,0.018,0.967,0.453,0.466,0.45,0.793,-0.168,0.955,0.362,-0.217,0.033,0.537,mds,reuters,51,trustworthiness
delaunay,0.286,0.754,0.657,0.5,0.365,0.97,0.016,0.97,0.469,0.471,0.439,0.791,-0.167,0.953,0.361,-0.214,0.03,0.532,mds,reuters,51,trustworthiness
projnn,0.269,0.766,0.692,0.52,0.414,0.965,0.019,0.965,0.448,0.453,0.487,0.779,-0.026,0.962,0.234,-0.054,0.035,0.549,mds,reuters,51,trustworthiness
truenn,0.362,0.821,0.702,0.625,0.423,0.96,0.022,0.96,0.437,0.313,0.511,0.872,-0.158,0.986,0.367,-0.218,0.04,0.553,mds,reuters,51,trustworthiness
rescaled,0.231,0.935,0.957,0.903,0.437,0.659,0.216,0.659,0.045,0.078,0.735,0.869,0.313,0.958,0.426,0.359,0.341,0.936,isomap,usps,51,trustworthiness
magnetic,0.217,0.871,0.764,0.832,0.349,0.876,0.073,0.876,0.258,0.152,0.388,0.878,0.307,0.969,0.411,0.339,0.124,0.741,isomap,usps,51,trustworthiness
magnetic_on_rescale,0.216,0.873,0.771,0.835,0.349,0.872,0.076,0.872,0.251,0.15,0.398,0.878,0.311,0.969,0.411,0.343,0.128,0.748,isomap,usps,51,trustworthiness
delaunay,0.197,0.934,0.907,0.903,0.541,0.787,0.126,0.787,0.13,0.082,0.646,0.874,0.39,0.976,0.307,0.422,0.213,0.869,isomap,usps,51,trustworthiness
projnn,0.16,0.952,0.96,0.924,0.643,0.674,0.204,0.674,0.053,0.061,0.747,0.849,0.516,0.975,0.161,0.491,0.326,0.932,isomap,usps,51,trustworthiness
truenn,0.166,0.957,0.911,0.933,0.632,0.775,0.135,0.775,0.132,0.05,0.69,0.878,0.484,0.984,0.176,0.461,0.225,0.863,isomap,usps,51,trustworthiness
rescaled,0.256,0.742,0.678,0.542,0.47,0.986,0.009,0.986,0.451,0.415,0.416,0.802,0.385,0.981,0.518,0.554,0.014,0.514,tsne,reuters,21,trustworthiness
magnetic,0.255,0.743,0.687,0.534,0.47,0.984,0.009,0.984,0.453,0.415,0.43,0.805,0.381,0.981,0.478,0.326,0.016,0.537,tsne,reuters,21,trustworthiness
magnetic_on_rescale,0.253,0.745,0.686,0.539,0.471,0.983,0.01,0.983,0.453,0.412,0.43,0.81,0.387,0.982,0.495,0.386,0.017,0.537,tsne,reuters,21,trustworthiness
delaunay,0.255,0.767,0.656,0.593,0.47,0.99,0.006,0.99,0.481,0.381,0.389,0.809,0.385,0.982,0.464,0.349,0.01,0.52,tsne,reuters,21,trustworthiness
projnn,0.239,0.753,0.658,0.571,0.422,0.99,0.006,0.99,0.479,0.405,0.394,0.766,0.294,0.97,0.201,0.311,0.01,0.521,tsne,reuters,21,trustworthiness
truenn,0.323,0.881,0.709,0.771,0.574,0.977,0.013,0.977,0.444,0.21,0.524,0.858,0.199,0.99,0.332,0.171,0.023,0.553,tsne,reuters,21,trustworthiness
rescaled,0.256,0.951,0.983,0.931,0.53,0.738,0.158,0.738,0.028,0.058,0.818,0.924,0.098,0.963,0.584,0.262,0.262,0.964,umap,usps,21,trustworthiness
magnetic,0.253,0.859,0.767,0.833,0.43,0.938,0.035,0.938,0.26,0.158,0.385,0.929,0.079,0.977,0.567,0.2,0.062,0.739,umap,usps,21,trustworthiness
magnetic_on_rescale,0.253,0.88,0.792,0.855,0.457,0.928,0.04,0.928,0.235,0.136,0.414,0.929,0.091,0.976,0.567,0.229,0.072,0.766,umap,usps,21,trustworthiness
delaunay,0.222,0.948,0.94,0.929,0.649,0.858,0.08,0.858,0.093,0.061,0.691,0.901,0.242,0.984,0.292,0.282,0.142,0.905,umap,usps,21,trustworthiness
projnn,0.172,0.958,0.972,0.941,0.648,0.759,0.145,0.759,0.039,0.05,0.787,0.86,0.398,0.979,0.182,0.379,0.241,0.949,umap,usps,21,trustworthiness
truenn,0.18,0.972,0.924,0.96,0.719,0.853,0.084,0.853,0.124,0.031,0.697,0.894,0.406,0.992,0.192,0.375,0.147,0.877,umap,usps,21,trustworthiness
rescaled,0.164,0.982,0.993,0.98,0.851,0.906,0.094,0.906,0.015,0.02,0.871,0.846,0.535,0.0,0.138,0.503,0.094,0.985,tsne,usps,1,trustworthiness
magnetic,0.176,0.976,0.982,0.974,0.821,0.973,0.027,0.973,0.039,0.026,0.803,0.858,0.535,0.0,0.137,0.506,0.027,0.961,tsne,usps,1,trustworthiness
magnetic_on_rescale,0.176,0.976,0.982,0.974,0.821,0.973,0.027,0.973,0.039,0.026,0.803,0.858,0.535,0.0,0.137,0.506,0.027,0.961,tsne,usps,1,trustworthiness
delaunay,0.144,0.977,0.99,0.974,0.733,0.925,0.075,0.925,0.024,0.026,0.856,0.829,0.494,0.0,0.136,0.458,0.075,0.976,tsne,usps,1,trustworthiness
projnn,0.144,0.979,0.991,0.976,0.763,0.922,0.078,0.922,0.02,0.024,0.857,0.833,0.502,0.0,0.135,0.469,0.078,0.98,tsne,usps,1,trustworthiness
truenn,0.155,0.984,0.949,0.982,0.809,0.975,0.025,0.975,0.102,0.018,0.792,0.857,0.476,0.0,0.153,0.448,0.025,0.898,tsne,usps,1,trustworthiness
rescaled,0.245,0.92,0.961,0.888,0.329,0.756,0.148,0.756,0.048,0.097,0.674,0.899,0.305,0.958,0.343,0.338,0.244,0.941,isomap,mnist,21,trustworthiness
magnetic,0.254,0.889,0.81,0.853,0.327,0.928,0.04,0.928,0.221,0.136,0.37,0.907,0.307,0.968,0.333,0.336,0.072,0.776,isomap,mnist,21,trustworthiness
magnetic_on_rescale,0.254,0.889,0.81,0.853,0.327,0.928,0.04,0.928,0.222,0.136,0.37,0.907,0.307,0.968,0.333,0.336,0.072,0.776,isomap,mnist,21,trustworthiness
delaunay,0.264,0.92,0.913,0.891,0.366,0.862,0.078,0.862,0.119,0.096,0.558,0.915,0.382,0.977,0.239,0.379,0.138,0.877,isomap,mnist,21,trustworthiness
projnn,0.255,0.931,0.95,0.904,0.446,0.782,0.129,0.782,0.063,0.084,0.645,0.907,0.422,0.973,0.193,0.406,0.218,0.925,isomap,mnist,21,trustworthiness
truenn,0.289,0.939,0.852,0.912,0.379,0.891,0.061,0.891,0.183,0.072,0.476,0.924,0.448,0.986,0.235,0.435,0.109,0.815,isomap,mnist,21,trustworthiness
rescaled,0.251,0.838,0.854,0.801,0.576,0.896,0.072,0.896,0.339,0.174,0.666,0.568,0.092,0.886,0.382,0.079,0.104,0.648,isomap,spambase,7,trustworthiness
magnetic,0.224,0.831,0.845,0.793,0.576,0.926,0.049,0.926,0.362,0.183,0.65,0.499,0.088,0.895,0.383,0.077,0.074,0.625,isomap,spambase,7,trustworthiness
magnetic_on_rescale,0.224,0.831,0.845,0.793,0.576,0.926,0.049,0.926,0.362,0.183,0.65,0.499,0.088,0.895,0.383,0.077,0.074,0.625,isomap,spambase,7,trustworthiness
delaunay,0.216,0.825,0.818,0.787,0.578,0.97,0.017,0.97,0.413,0.19,0.617,0.487,0.085,0.894,0.381,0.074,0.03,0.588,isomap,spambase,7,trustworthiness
projnn,0.219,0.829,0.827,0.791,0.576,0.948,0.031,0.948,0.386,0.185,0.63,0.386,0.078,1.078,0.345,0.065,0.052,0.606,isomap,spambase,7,trustworthiness
truenn,0.078,0.906,0.835,0.884,0.592,0.917,0.051,0.917,0.354,0.103,0.644,0.361,0.253,0.973,0.328,0.223,0.083,0.632,isomap,spambase,7,trustworthiness
rescaled,0.144,0.951,0.98,0.935,0.43,0.719,0.175,0.719,0.044,0.051,0.741,0.904,0.424,0.971,0.627,0.752,0.281,0.952,isomap,har,51,trustworthiness
magnetic,0.127,0.684,0.629,0.619,0.291,0.973,0.014,0.973,0.411,0.369,0.251,0.893,0.395,0.987,0.49,0.325,0.027,0.594,isomap,har,51,trustworthiness
magnetic_on_rescale,0.131,0.739,0.722,0.683,0.327,0.954,0.026,0.954,0.319,0.305,0.314,0.908,0.416,0.985,0.593,0.478,0.046,0.684,isomap,har,51,trustworthiness
delaunay,0.144,0.886,0.88,0.859,0.517,0.916,0.046,0.916,0.171,0.13,0.512,0.894,0.47,0.984,0.476,0.657,0.084,0.833,isomap,har,51,trustworthiness
projnn,0.085,0.947,0.967,0.928,0.633,0.765,0.142,0.765,0.058,0.058,0.715,0.842,0.671,0.982,0.141,0.713,0.235,0.932,isomap,har,51,trustworthiness
